order_release_id,customer_paid_amount,total_commission_plus_tcs_tds_deduction,total_logistics_deduction,vendor_payout_amount,source_file
8298184534,798.998,-145.989,-181.72,471.291,02-2025
8291037435,649.005,-118.581,-168.7164,361.7026,02-2025
8293690948,848.999,-155.125,-218.3,475.575,02-2025
8299236332,849.0100000000001,-155.125,-97.9164,595.9586,02-2025
8318364363,599.004,-109.445,-70.7764,418.7786,02-2025
8298051282,599.004,-109.445,-167.5364,322.0186,02-2025
8310430674,799.008,-145.989,-80.2164,572.7946,02-2025
8282142687,748.9970000000001,-136.853,-177.0,435.14699999999993,02-2025
8288937753,798.998,-145.989,-181.72,471.291,02-2025
8286901612,698.9960000000001,-127.717,-177.0,394.283,02-2025
8310340486,699.0060000000001,-127.718,-79.0364,492.2456,02-2025
8320897442,799.008,-145.989,-84.96,568.0509999999999,02-2025
8298235776,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8302929739,798.998,-145.989,-86.1164,566.8946,02-2025
8306229022,599.004,-109.447,-213.58,275.973,02-2025
8318119935,949.001,-173.396,-90.86,684.744,02-2025
8309594057,748.9970000000001,-136.853,-171.0764,441.0705999999999,02-2025
8312271902,798.998,-145.989,-176.9764,476.0346,02-2025
8316205744,798.998,-145.989,-86.1164,566.8946,02-2025
8289327901,798.998,-145.989,-129.7764,523.2346,02-2025
8291990894,649.005,-118.581,-177.0,353.419,02-2025
8311708962,699.0060000000001,-127.717,-86.14,485.143,02-2025
8313186297,799.008,-145.989,-84.96,568.0509999999999,02-2025
8296255565,949.001,-173.396,-181.72,593.884,02-2025
8300226738,948.99,-173.396,-89.6564,685.9476000000001,02-2025
8321885030,798.998,-145.989,-84.96,568.0509999999999,02-2025
8297600563,948.99,-173.396,-83.7564,691.8476,02-2025
8307357312,798.998,-145.989,-176.9764,476.0346,02-2025
8310854750,599.0039999999999,-109.445,-93.22,396.335,02-2025
8301353712,999.002,-182.531,-181.6964,634.7726,02-2025
8303000855,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8283335794,999.002,-182.531,-90.86,725.609,02-2025
8290550558,899.01,-164.26,-84.96,649.78,02-2025
8295755019,599.004,-109.445,-204.1164,285.4386,02-2025
8298869747,649.005,-118.582,-86.14,444.278,02-2025
8315327825,799.008,-145.989,-84.96,568.0509999999999,02-2025
8283709618,698.9960000000001,-127.717,-177.0,394.283,02-2025
8293243624,599.004,-109.445,-76.6764,412.8786,02-2025
8302563000,899.0,-164.26,-218.3,516.44,02-2025
8315540386,649.005,-118.581,-168.7164,361.7026,02-2025
8317451765,599.004,-109.445,-87.2964,402.2586,02-2025
8288783024,699.0060000000001,-127.718,-79.0364,492.2456,02-2025
8292359080,599.004,-109.445,-86.14,403.415,02-2025
8306250646,949.001,-173.396,-181.72,593.884,02-2025
8314659325,599.004,-109.446,-93.22,396.334,02-2025
8313418396,798.998,-145.989,-176.9764,476.0346,02-2025
8308987892,649.005,-118.582,-177.0,353.418,02-2025
8313070777,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8300389926,798.998,-145.989,-176.9764,476.0346,02-2025
8304408204,848.999,-155.125,-218.3,475.575,02-2025
8318213592,499.002,-91.174,-66.0564,341.7696,02-2025
8289211818,799.008,-145.989,-81.3964,571.6146,02-2025
8315715470,949.001,-173.397,-90.86,684.743,02-2025
8309326968,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8320225956,698.9960000000001,-127.718,-86.14,485.142,02-2025
8292279106,649.005,-118.581,-168.7164,361.7026,02-2025
8306128108,798.998,-145.989,-86.1164,566.8946,02-2025
8309886486,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8319809146,698.9960000000001,-127.718,-77.2664,494.01560000000006,02-2025
8315226683,798.998,-145.989,-90.86,562.1510000000001,02-2025
8317677838,698.9960000000001,-127.718,-177.0,394.282,02-2025
8307763106,699.0060000000001,-127.718,-73.1364,498.14560000000006,02-2025
8313015040,949.001,-173.396,-181.72,593.884,02-2025
8313545282,698.9960000000001,-127.717,-86.14,485.143,02-2025
8318174895,599.004,-109.445,-87.2964,402.2586,02-2025
8296712442,799.008,-145.989,-80.2164,572.7946,02-2025
8302712493,599.004,-109.445,-87.2964,402.2586,02-2025
8290454069,798.998,-145.989,-181.72,471.291,02-2025
8291291143,599.0039999999999,-109.445,-79.0364,410.5186,02-2025
8314206410,799.008,-145.987,-181.72,471.29300000000006,02-2025
8316545369,599.004,-109.445,-86.14,403.415,02-2025
8321329555,799.008,-145.989,-80.2164,572.7946,02-2025
8301302186,798.998,-145.988,-89.09,563.9219999999999,02-2025
8312558090,698.9960000000001,-127.717,-177.0,394.283,02-2025
8313695064,798.998,-145.989,-181.72,471.291,02-2025
8290139262,698.9960000000001,-127.718,-79.0364,492.2456,02-2025
8291644216,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8293789064,848.999,-155.125,-218.3,475.575,02-2025
8320115364,799.008,-145.989,-84.96,568.0509999999999,02-2025
8298701280,599.0039999999999,-109.445,-88.5,401.055,02-2025
8295794746,949.001,-173.396,-83.7564,691.8476,02-2025
8297571906,599.004,-109.445,-151.63,337.925,02-2025
8321176853,599.0039999999999,-109.445,-70.7764,418.7786,02-2025
8296242073,499.002,-91.174,-66.0564,341.7696,02-2025
8298021944,599.0039999999999,-109.445,-87.32,402.235,02-2025
8298887218,599.004,-109.445,-213.58,275.975,02-2025
8309148530,798.998,-145.989,-90.86,562.151,02-2025
8306981299,698.9960000000001,-127.718,-80.24,491.0419999999999,02-2025
8319542590,949.001,-173.396,-90.86,684.744,02-2025
8289804200,798.998,-145.989,-90.86,562.151,02-2025
8295991342,798.998,-145.989,-181.72,471.291,02-2025
8312056054,698.9960000000001,-127.718,-86.14,485.14200000000005,02-2025
8323833376,699.0060000000001,-127.718,-81.42,489.862,02-2025
8309295357,798.998,-145.989,-90.86,562.151,02-2025
8314192371,798.998,-145.989,-90.86,562.151,02-2025
8292770619,699.0060000000001,-127.718,-74.3164,496.96560000000005,02-2025
8306878915,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8293580841,649.006,-118.581,-80.24,450.179,02-2025
8307086136,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8311159944,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8298716339,599.004,-109.446,-213.58,275.97399999999993,02-2025
8304951241,698.9960000000001,-127.718,-73.1364,498.14560000000006,02-2025
8312270346,698.9960000000001,-127.718,-177.0,394.2820000000001,02-2025
8316276354,599.0039999999999,-109.445,-80.24,409.31500000000005,02-2025
8290949255,599.004,-109.445,-167.5364,322.0186,02-2025
8296449954,698.9960000000001,-127.718,-177.0,394.282,02-2025
8298380936,599.004,-109.445,-213.58,275.975,02-2025
8305980939,798.998,-145.989,-176.9764,476.0346,02-2025
8298852932,948.99,-173.396,-84.96,690.644,02-2025
8319328693,649.006,-118.581,-71.9564,458.4626,02-2025
8285518660,798.998,-145.989,-181.72,471.291,02-2025
8298184533,799.008,-145.989,-84.96,568.051,02-2025
8313412431,749.0079999999999,-136.853,-74.3164,537.8305999999999,02-2025
8297461444,798.998,-145.988,-181.72,471.2920000000001,02-2025
8295744185,848.999,-155.125,-101.48,592.395,02-2025
8312213798,599.004,-109.445,-76.6764,412.8786,02-2025
8306874896,649.006,-118.581,-71.9564,458.4626,02-2025
8310217503,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8287348612,949.001,-173.396,-181.72,593.884,02-2025
8305076814,649.005,-118.581,-77.8564,452.5626,02-2025
8305502961,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8307762525,599.004,-109.445,-204.1164,285.4386,02-2025
8306676837,599.004,-109.445,-204.1164,285.4386,02-2025
8319085500,599.004,-109.445,-87.2964,402.2586,02-2025
8290128265,698.9960000000001,-127.718,-177.0,394.282,02-2025
8287103553,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8299904060,649.005,-118.581,-177.0,353.419,02-2025
8290381333,999.002,-182.531,-90.8364,725.6326,02-2025
8311552497,949.001,-173.395,-181.72,593.885,02-2025
8290979595,599.004,-109.445,-76.6764,412.8786,02-2025
8299950086,499.002,-91.174,-87.32,320.506,02-2025
8309648009,798.998,-145.989,-181.72,471.291,02-2025
8311390531,599.004,-109.447,-213.58,275.973,02-2025
8297773807,798.998,-145.989,-90.86,562.151,02-2025
8298593399,798.998,-145.989,-90.86,562.1510000000001,02-2025
8299845045,698.9960000000001,-127.718,-122.6964,448.58560000000006,02-2025
8303415440,848.999,-155.125,-97.9164,595.9586,02-2025
8307943457,599.004,-109.445,-204.1164,285.4386,02-2025
8285068551,599.004,-109.445,-177.0,312.555,02-2025
8290119792,998.992,-182.531,-101.48,714.989,02-2025
8293610010,799.008,-145.989,-80.2164,572.7946,02-2025
8300099015,798.998,-145.989,-181.72,471.291,02-2025
8296258845,798.998,-145.989,-176.9764,476.0346,02-2025
8316387842,798.998,-145.989,-86.1164,566.8946,02-2025
8297303688,599.004,-109.445,-213.58,275.975,02-2025
8299040150,798.998,-145.989,-90.86,562.151,02-2025
8305982418,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8318211998,599.004,-109.445,-177.0,312.555,02-2025
8318547352,999.002,-182.531,-134.52,681.9490000000001,02-2025
8309859848,949.001,-173.396,-83.7564,691.8476,02-2025
8311462280,599.0039999999999,-109.445,-87.32,402.235,02-2025
8286420382,899.0,-164.26,-215.9164,518.8235999999999,02-2025
8295370885,948.99,-173.396,-84.96,690.6439999999999,02-2025
8310477673,798.998,-145.989,-84.3464,568.6646,02-2025
8313953968,799.008,-145.989,-80.2164,572.7946,02-2025
8289659333,798.998,-145.989,-80.2164,572.7946,02-2025
8289553510,799.008,-145.989,-80.2164,572.7946,02-2025
8294553664,599.004,-109.445,-213.58,275.975,02-2025
8301740541,599.004,-109.445,-87.2964,402.2586,02-2025
8309887580,799.008,-145.989,-80.2164,572.7946,02-2025
8312270341,699.0060000000001,-127.718,-84.37,486.912,02-2025
8317462058,798.998,-145.989,-176.9764,476.0346,02-2025
8322608694,799.008,-145.989,-84.96,568.0509999999999,02-2025
8285588544,949.001,-173.396,-181.72,593.884,02-2025
8290347005,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8301110514,798.998,-145.989,-81.3964,571.6146,02-2025
8320894108,798.998,-145.989,-176.9764,476.0346,02-2025
8317823905,899.0,-164.26,-101.48,633.26,02-2025
8321918596,799.008,-145.989,-81.3964,571.6146,02-2025
8287861566,698.9960000000001,-127.718,-86.14,485.14200000000005,02-2025
8310203469,599.004,-109.445,-213.58,275.975,02-2025
8321974033,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8290046704,599.004,-109.445,-96.76,392.795,02-2025
8296041975,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8314573525,599.004,-109.445,-86.14,403.415,02-2025
8312588541,798.998,-145.989,-176.9764,476.0346,02-2025
8314569535,599.004,-109.446,-213.58,275.97399999999993,02-2025
8319769156,599.004,-109.446,-96.76,392.794,02-2025
8289184273,848.999,-155.124,-218.3,475.57600000000014,02-2025
8279450343,727.9970000000001,-133.016,-170.5808,424.4031999999999,02-2025
8297852484,798.998,-145.988,-90.86,562.1519999999999,02-2025
8305346789,899.01,-164.26,-89.6564,645.0836,02-2025
8295938304,798.998,-145.988,-181.72,471.292,02-2025
8303053618,798.998,-145.989,-181.72,471.2910000000001,02-2025
8305989278,798.998,-145.989,-106.1764,546.8345999999999,02-2025
8305993108,798.998,-145.989,-86.1164,566.8946,02-2025
8320197515,798.998,-145.989,-86.1164,566.8946,02-2025
8299832861,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8300052171,599.004,-109.445,-76.6764,412.8786,02-2025
8309459404,599.004,-109.445,-96.76,392.795,02-2025
8313523128,999.002,-182.531,-90.8364,725.6326,02-2025
8318363570,798.998,-145.989,-176.9764,476.0346,02-2025
8302578305,948.99,-173.396,-83.7564,691.8476,02-2025
8298433100,798.998,-145.989,-181.72,471.291,02-2025
8300137233,599.004,-109.445,-204.1164,285.4386,02-2025
8301080990,798.998,-145.989,-134.52,518.491,02-2025
8306737211,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8313858755,599.0039999999999,-109.445,-213.58,275.975,02-2025
8284858812,575.0020000000001,-105.061,-76.11,393.829,02-2025
8294790965,798.998,-145.989,-86.1164,566.8946,02-2025
8319765018,599.0039999999999,-109.445,-79.6264,409.9286,02-2025
8286790896,698.9960000000001,-127.718,-80.24,491.042,02-2025
8294213965,798.998,-145.989,-181.72,471.291,02-2025
8298238519,649.005,-118.581,-177.0,353.419,02-2025
8293958063,849.0100000000001,-155.125,-101.48,592.395,02-2025
8311945230,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8298273009,798.998,-145.988,-181.72,471.292,02-2025
8316230979,599.004,-109.445,-87.2964,402.2586,02-2025
8318425330,798.998,-145.989,-86.1164,566.8946,02-2025
8289838337,899.0,-164.26,-181.72,553.02,02-2025
8295419121,949.001,-173.396,-90.86,684.744,02-2025
8285560210,698.9960000000001,-127.718,-99.0964,472.1856,02-2025
8300033520,798.998,-145.989,-181.72,471.291,02-2025
8318945417,798.998,-145.989,-176.9764,476.0346,02-2025
